y,U_x,U_y,U_z,p,k,epsilon,nut
-1,0,0,0,0.0470108,0.00132389,0.0822556,3.6274e-08
-0.98,0.417393,0.000138183,0,0.0470234,0.0162965,0.0437606,0.000561401
-0.96,0.564479,0.000425998,0,0.0470482,0.0184671,0.0290488,0.00106299
-0.94,0.6617,0.000836655,0,0.0470786,0.018197,0.021575,0.00138661
-0.92,0.739008,0.00135882,0,0.0471124,0.0171016,0.0167186,0.00157645
-0.9,0.804317,0.00199398,0,0.0471478,0.0154984,0.0131283,0.00164925
-0.88,0.861869,0.00272673,0,0.0471831,0.0135606,0.0101604,0.00163132
-0.86,0.913117,0.00353873,0,0.047217,0.0113942,0.00758516,0.00154249
-0.84,0.957875,0.00439709,0,0.047248,0.0091299,0.0053623,0.00140412
-0.82,0.996146,0.0052391,0,0.0472753,0.00696049,0.00349984,0.00125311
-0.8,1.0261,0.00597634,0,0.0472976,0.00512523,0.00211406,0.0011338
-0.78,1.04775,0.00653422,0,0.0473145,0.0037639,0.0011851,0.00109061
-0.76,1.06019,0.00683171,0,0.0473262,0.00298997,0.00070382,0.00117202
-0.74,1.06693,0.00694395,0,0.0473357,0.00258128,0.000458414,0.00133919
-0.72,1.07022,0.00693492,0,0.0473443,0.00238245,0.000336717,0.00153957
-0.7,1.07159,0.00685317,0,0.0473522,0.00229043,0.000275301,0.00172791
-0.68,1.07191,0.00672814,0,0.0473601,0.00224933,0.000242821,0.00188195
-0.66,1.07165,0.00657614,0,0.0473683,0.00223185,0.000224706,0.00199842
-0.64,1.07106,0.00640573,0,0.0473768,0.00222498,0.000214083,0.00208285
-0.62,1.07029,0.006223,0,0.0473852,0.00222252,0.000207558,0.00214267
-0.6,1.06942,0.00603203,0,0.0473935,0.00222156,0.000203373,0.00218442
-0.58,1.06851,0.00583531,0,0.0474018,0.0022208,0.000200577,0.00221314
-0.56,1.06761,0.00563455,0,0.0474099,0.00221968,0.000198659,0.00223216
-0.54,1.06674,0.00543088,0,0.0474177,0.00221792,0.000197368,0.0022432
-0.52,1.06591,0.00522616,0,0.0474254,0.00221583,0.000196359,0.00225045
-0.5,1.06512,0.00502084,0,0.0474328,0.00221353,0.000195559,0.00225496
-0.48,1.0644,0.00481529,0,0.04744,0.0022111,0.000194944,0.00225711
-0.46,1.06374,0.0046101,0,0.0474468,0.00220875,0.000194469,0.00225782
-0.44,1.06313,0.00440525,0,0.0474534,0.00220651,0.000194062,0.00225796
-0.42,1.06257,0.00420098,0,0.0474597,0.00220447,0.000193738,0.00225754
-0.4,1.06207,0.00399742,0,0.0474657,0.00220268,0.000193477,0.00225693
-0.38,1.06159,0.00379419,0,0.0474714,0.00220102,0.000193244,0.00225624
-0.36,1.06119,0.00359189,0,0.0474768,0.0021997,0.00019307,0.00225557
-0.34,1.0608,0.00338986,0,0.0474819,0.00219848,0.00019291,0.00225493
-0.32,1.06046,0.00318842,0,0.0474867,0.00219747,0.000192781,0.00225437
-0.3,1.06015,0.00298733,0,0.0474912,0.00219659,0.000192669,0.00225388
-0.28,1.05986,0.00278661,0,0.0474955,0.00219585,0.000192573,0.00225347
-0.26,1.05961,0.00258622,0,0.0474994,0.00219521,0.000192492,0.00225312
-0.24,1.05938,0.00238606,0,0.047503,0.00219466,0.00019242,0.00225283
-0.22,1.05917,0.00218615,0,0.0475064,0.0021942,0.00019236,0.00225259
-0.2,1.05898,0.00198641,0,0.0475094,0.0021938,0.000192307,0.00225239
-0.18,1.05882,0.00178683,0,0.0475122,0.00219345,0.000192261,0.00225222
-0.16,1.05868,0.0015874,0,0.0475146,0.00219317,0.000192222,0.00225208
-0.14,1.05855,0.00138804,0,0.0475169,0.00219291,0.000192187,0.00225196
-0.12,1.05844,0.00118884,0,0.0475187,0.00219272,0.000192161,0.00225188
-0.1,1.05834,0.000989642,0,0.0475204,0.00219253,0.000192135,0.00225179
-0.08,1.05828,0.000790579,0,0.0475216,0.00219242,0.000192119,0.00225174
-0.06,1.05822,0.000591522,0,0.0475226,0.00219231,0.000192104,0.0022517
-0.04,1.05818,0.000393559,0,0.0475233,0.00219224,0.000192095,0.00225167
-0.02,1.05816,0.000196537,0,0.0475237,0.0021922,0.00019209,0.00225165
-7.88754e-17,1.05814,-4.84681e-07,0,0.0475241,0.00219217,0.000192085,0.00225164
0.02,1.05816,-0.000197507,0,0.0475237,0.0021922,0.00019209,0.00225165
0.04,1.05818,-0.00039453,0,0.0475234,0.00219224,0.000192095,0.00225167
0.06,1.05822,-0.000592494,0,0.0475227,0.00219231,0.000192104,0.0022517
0.08,1.05828,-0.00079155,0,0.0475216,0.00219242,0.00019212,0.00225174
0.1,1.05834,-0.000990612,0,0.0475205,0.00219253,0.000192135,0.00225179
0.12,1.05844,-0.0011898,0,0.0475188,0.00219272,0.000192161,0.00225188
0.14,1.05855,-0.00138899,0,0.047517,0.00219291,0.000192187,0.00225196
0.16,1.05868,-0.00158835,0,0.0475148,0.00219317,0.000192222,0.00225208
0.18,1.05882,-0.00178775,0,0.0475123,0.00219345,0.000192261,0.00225222
0.2,1.05898,-0.00198733,0,0.0475096,0.0021938,0.000192307,0.00225239
0.22,1.05917,-0.00218706,0,0.0475065,0.0021942,0.00019236,0.00225259
0.24,1.05938,-0.00238697,0,0.0475032,0.00219466,0.00019242,0.00225283
0.26,1.05961,-0.00258713,0,0.0474996,0.00219521,0.000192492,0.00225313
0.28,1.05986,-0.00278753,0,0.0474957,0.00219585,0.000192573,0.00225347
0.3,1.06015,-0.00298825,0,0.0474915,0.0021966,0.000192669,0.00225389
0.32,1.06046,-0.00318933,0,0.047487,0.00219747,0.000192781,0.00225438
0.34,1.0608,-0.00339076,0,0.0474822,0.00219848,0.00019291,0.00225493
0.36,1.06119,-0.00359276,0,0.0474771,0.0021997,0.00019307,0.00225557
0.38,1.06159,-0.00379504,0,0.0474718,0.00220102,0.000193244,0.00225625
0.4,1.06207,-0.00399825,0,0.047466,0.00220269,0.000193477,0.00225694
0.42,1.06257,-0.0042018,0,0.04746,0.00220447,0.000193738,0.00225755
0.44,1.06312,-0.00440608,0,0.0474538,0.00220652,0.000194062,0.00225797
0.46,1.06374,-0.00461095,0,0.0474472,0.00220876,0.000194469,0.00225782
0.48,1.0644,-0.00481615,0,0.0474404,0.0022111,0.000194943,0.00225711
0.5,1.06512,-0.00502169,0,0.0474332,0.00221353,0.000195559,0.00225496
0.52,1.06591,-0.005227,0,0.0474258,0.00221583,0.000196359,0.00225046
0.54,1.06674,-0.00543171,0,0.0474182,0.00221792,0.000197368,0.0022432
0.56,1.06761,-0.00563537,0,0.0474103,0.00221967,0.000198659,0.00223216
0.58,1.06851,-0.00583615,0,0.0474022,0.0022208,0.000200576,0.00221314
0.6,1.06942,-0.00603292,0,0.047394,0.00222156,0.000203373,0.00218442
0.62,1.07029,-0.00622395,0,0.0473857,0.00222252,0.000207558,0.00214266
0.64,1.07106,-0.00640671,0,0.0473773,0.00222498,0.000214084,0.00208284
0.66,1.07165,-0.00657711,0,0.0473689,0.00223185,0.000224707,0.0019984
0.68,1.07191,-0.00672907,0,0.0473607,0.00224933,0.000242823,0.00188193
0.7,1.07159,-0.00685403,0,0.0473528,0.00229043,0.000275305,0.00172788
0.72,1.07022,-0.00693571,0,0.0473448,0.00238245,0.000336724,0.00153954
0.74,1.06693,-0.0069447,0,0.0473363,0.00258129,0.000458427,0.00133917
0.76,1.06019,-0.00683244,0,0.0473268,0.00299,0.000703847,0.001172
0.78,1.04775,-0.00653496,0,0.0473151,0.00376396,0.00118515,0.0010906
0.8,1.0261,-0.00597706,0,0.0472982,0.00512532,0.00211415,0.00113379
0.82,0.996145,-0.00523975,0,0.0472759,0.00696063,0.00349997,0.00125311
0.84,0.957874,-0.00439766,0,0.0472486,0.00913006,0.00536247,0.00140413
0.86,0.913115,-0.00353921,0,0.0472176,0.0113944,0.00758536,0.00154249
0.88,0.861867,-0.00272712,0,0.0471837,0.0135608,0.0101606,0.00163133
0.9,0.804315,-0.00199427,0,0.0471484,0.0154985,0.0131285,0.00164926
0.92,0.739005,-0.00135902,0,0.0471131,0.0171017,0.0167187,0.00157646
0.94,0.661698,-0.000836782,0,0.0470793,0.0181971,0.021575,0.00138662
0.96,0.564477,-0.000426059,0,0.0470488,0.0184672,0.0290486,0.00106301
0.98,0.417391,-0.000138199,0,0.0470241,0.0162965,0.0437603,0.000561405
1,3.76112e-15,-3.18832e-19,0,0.0470114,0.00132389,0.0822555,3.62739e-08
