y,U_x,U_y,U_z,p,k,epsilon,nut
-1,0,0,0,0.0470116,0.0013239,0.0822561,3.62743e-08
-0.98,0.417395,0.00013817,0,0.0470242,0.0162966,0.0437609,0.000561402
-0.96,0.564482,0.000425975,0,0.047049,0.0184672,0.0290489,0.001063
-0.94,0.661704,0.000836631,0,0.0470795,0.018197,0.021575,0.00138661
-0.92,0.739013,0.00135881,0,0.0471132,0.0171017,0.0167187,0.00157646
-0.9,0.804323,0.00199399,0,0.0471486,0.0154984,0.0131284,0.00164925
-0.88,0.861876,0.00272677,0,0.0471839,0.0135607,0.0101604,0.00163134
-0.86,0.913125,0.00353879,0,0.0472178,0.0113943,0.0075852,0.00154251
-0.84,0.957884,0.00439713,0,0.0472488,0.00913001,0.00536233,0.00140415
-0.82,0.996155,0.00523908,0,0.0472762,0.0069606,0.00349988,0.00125314
-0.8,1.02611,0.00597621,0,0.0472984,0.00512532,0.00211409,0.00113383
-0.78,1.04776,0.00653391,0,0.0473153,0.00376396,0.00118512,0.00109063
-0.76,1.0602,0.00683126,0,0.047327,0.00299001,0.000703827,0.00117203
-0.74,1.06694,0.00694331,0,0.0473365,0.0025813,0.000458416,0.0013392
-0.72,1.07023,0.00693416,0,0.047345,0.00238246,0.000336718,0.00153958
-0.7,1.07159,0.00685229,0,0.047353,0.00229044,0.000275301,0.00172791
-0.68,1.07191,0.00672715,0,0.0473609,0.00224933,0.000242821,0.00188195
-0.66,1.07165,0.00657505,0,0.0473691,0.00223185,0.000224706,0.00199843
-0.64,1.07106,0.00640453,0,0.0473775,0.00222498,0.000214083,0.00208286
-0.62,1.07029,0.0062217,0,0.047386,0.00222253,0.000207558,0.00214268
-0.6,1.06942,0.00603064,0,0.0473943,0.00222157,0.000203373,0.00218443
-0.58,1.06851,0.00583384,0,0.0474025,0.00222081,0.000200577,0.00221316
-0.56,1.06761,0.00563304,0,0.0474107,0.00221968,0.000198659,0.00223217
-0.54,1.06673,0.00542936,0,0.0474185,0.00221793,0.000197368,0.00224321
-0.52,1.06591,0.00522464,0,0.0474262,0.00221584,0.00019636,0.00225047
-0.5,1.06512,0.00501934,0,0.0474336,0.00221354,0.000195559,0.00225497
-0.48,1.06439,0.00481383,0,0.0474408,0.00221111,0.000194944,0.00225712
-0.46,1.06374,0.00460868,0,0.0474476,0.00220876,0.00019447,0.00225783
-0.44,1.06312,0.00440387,0,0.0474543,0.00220652,0.000194063,0.00225798
-0.42,1.06256,0.00419965,0,0.0474606,0.00220448,0.000193739,0.00225756
-0.4,1.06206,0.00399615,0,0.0474665,0.00220269,0.000193478,0.00225694
-0.38,1.06159,0.00379299,0,0.0474723,0.00220103,0.000193244,0.00225625
-0.36,1.06118,0.00359075,0,0.0474777,0.0021997,0.00019307,0.00225558
-0.34,1.0608,0.00338878,0,0.0474828,0.00219848,0.00019291,0.00225494
-0.32,1.06046,0.0031874,0,0.0474876,0.00219748,0.000192782,0.00225438
-0.3,1.06014,0.00298637,0,0.0474922,0.0021966,0.000192669,0.00225389
-0.28,1.05986,0.0027857,0,0.0474964,0.00219585,0.000192574,0.00225347
-0.26,1.05961,0.00258535,0,0.0475003,0.00219521,0.000192492,0.00225312
-0.24,1.05937,0.00238524,0,0.047504,0.00219466,0.00019242,0.00225283
-0.22,1.05917,0.00218536,0,0.0475073,0.0021942,0.00019236,0.00225259
-0.2,1.05898,0.00198567,0,0.0475104,0.0021938,0.000192307,0.00225238
-0.18,1.05882,0.00178612,0,0.0475132,0.00219345,0.000192261,0.00225221
-0.16,1.05867,0.00158673,0,0.0475156,0.00219317,0.000192222,0.00225208
-0.14,1.05854,0.0013874,0,0.0475179,0.00219291,0.000192187,0.00225196
-0.12,1.05844,0.00118824,0,0.0475197,0.00219272,0.000192161,0.00225187
-0.1,1.05834,0.000989072,0,0.0475215,0.00219253,0.000192135,0.00225179
-0.08,1.05828,0.000790043,0,0.0475226,0.00219241,0.000192119,0.00225174
-0.06,1.05822,0.00059102,0,0.0475237,0.0021923,0.000192104,0.00225169
-0.04,1.05818,0.000393094,0,0.0475244,0.00219223,0.000192094,0.00225166
-0.02,1.05816,0.000196112,0,0.0475248,0.0021922,0.000192089,0.00225164
-7.88754e-17,1.05814,-8.70387e-07,0,0.0475251,0.00219216,0.000192085,0.00225163
0.02,1.05816,-0.00019785,0,0.0475248,0.0021922,0.000192089,0.00225164
0.04,1.05818,-0.00039483,0,0.0475245,0.00219223,0.000192094,0.00225166
0.06,1.05822,-0.000592751,0,0.0475238,0.0021923,0.000192104,0.00225169
0.08,1.05828,-0.000791765,0,0.0475227,0.00219241,0.000192119,0.00225174
0.1,1.05834,-0.000990785,0,0.0475216,0.00219253,0.000192135,0.00225179
0.12,1.05844,-0.00118994,0,0.0475199,0.00219272,0.000192161,0.00225187
0.14,1.05854,-0.00138909,0,0.0475181,0.00219291,0.000192187,0.00225196
0.16,1.05867,-0.0015884,0,0.0475159,0.00219317,0.000192222,0.00225208
0.18,1.05882,-0.00178777,0,0.0475135,0.00219345,0.000192261,0.00225221
0.2,1.05898,-0.0019873,0,0.0475107,0.0021938,0.000192307,0.00225239
0.22,1.05917,-0.00218698,0,0.0475077,0.0021942,0.00019236,0.00225259
0.24,1.05937,-0.00238683,0,0.0475044,0.00219466,0.00019242,0.00225283
0.26,1.0596,-0.00258693,0,0.0475007,0.00219522,0.000192492,0.00225313
0.28,1.05986,-0.00278726,0,0.0474969,0.00219585,0.000192573,0.00225348
0.3,1.06014,-0.00298792,0,0.0474926,0.0021966,0.000192669,0.00225389
0.32,1.06046,-0.00318892,0,0.0474881,0.00219748,0.000192782,0.00225438
0.34,1.0608,-0.00339028,0,0.0474834,0.00219848,0.00019291,0.00225494
0.36,1.06118,-0.00359221,0,0.0474782,0.00219971,0.00019307,0.00225558
